sensor_front_left,sensor_front_right,sensor_back_left,sensor_back_right,sensor_middle,label
0.8,0.8,0.9,0.9,0.7,upright
0.2,0.2,0.3,0.3,0.1,slouch
0.9,0.3,0.8,0.2,0.4,lean_left
0.3,0.9,0.2,0.8,0.4,lean_right
0.85,0.82,0.88,0.87,0.75,upright
0.25,0.20,0.28,0.26,0.15,slouch
0.92,0.35,0.85,0.30,0.45,lean_left
0.35,0.93,0.30,0.86,0.42,lean_right
0.78,0.80,0.82,0.85,0.70,upright
0.18,0.25,0.20,0.22,0.12,slouch
0.95,0.40,0.90,0.35,0.50,lean_left
0.38,0.96,0.33,0.90,0.48,lean_right
0.83,0.79,0.86,0.88,0.72,upright
0.22,0.18,0.24,0.25,0.14,slouch
0.94,0.37,0.87,0.32,0.47,lean_left
0.32,0.91,0.29,0.84,0.41,lean_right
0.81,0.83,0.89,0.86,0.73,upright
0.21,0.23,0.27,0.22,0.13,slouch
0.91,0.36,0.88,0.33,0.46,lean_left
0.34,0.92,0.31,0.87,0.43,lean_right
